gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1563885242,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5032,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.02,136.126,200.0,,,,0.0,0.0,2005-05-16T04:36:07Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5032,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885241,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503e,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.924,136.114,200.0,,,,0.0,0.0,2005-05-12T12:55:32Z,12,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503e,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885240,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5031,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.031,136.121,200.0,,,,0.0,0.0,2005-05-16T07:22:30Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5031,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885239,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503a,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.885,136.268,200.0,,,,0.0,0.0,2005-05-14T17:47:25Z,14,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-503a,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885238,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502e,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.063,136.074,200.0,,,,0.0,0.0,2005-05-16T20:08:51Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-502e,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.639Z,,COORDINATE_PRECISION_INVALID
1563885237,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5027,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.988,136.04,200.0,,,,0.0,0.0,2005-05-17T08:57:28Z,17,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5027,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.639Z,,COORDINATE_PRECISION_INVALID
1563885236,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-501c,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.438,136.554,200.0,,,,0.0,0.0,2005-05-18T05:49:12Z,18,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-501c,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.639Z,,COORDINATE_PRECISION_INVALID
1563885235,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5022,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.939,135.956,200.0,,,,0.0,0.0,2005-05-17T17:18:49Z,17,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5022,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.638Z,,COORDINATE_PRECISION_INVALID
1563885234,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5014,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-11.734,136.22,200.0,,,,0.0,0.0,2005-05-20T12:55:01Z,20,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5014,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
1563885233,e9493ed6-55ba-43e8-bcda-fef47ba441e3,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5033,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Lepidochelys,Lepidochelys olivacea,,SPECIES,"Lepidochelys olivacea (Eschscholtz, 1829)",Lepidochelys olivacea,,AU,Graham Island,,present,1,5fa89f68-9af0-4a0d-8998-ea39695c1db9,-12.003,136.174,200.0,,,,0.0,0.0,2005-05-16T01:10:46Z,16,5,2005,2442153,2442153,MACHINE_OBSERVATION,IMOS,aodn_nt_sattag_oliveridley_location_data,aodn_nt_sattag_oliveridley_location_data.fid-7d3b6a56_15c8b7b9257_-5033,,,,CC_BY_4_0,,,,,2020-02-10T11:20:58.637Z,,COORDINATE_PRECISION_INVALID
